"name","OVAConc","Treatment","Population","Parent","Frequency"
"Activation_1.fcs","0","Stim-A","CD4 T Cells","Live Cells",13.2791327913279
"Activation_1.fcs","0","Stim-A","CD8 T Cells","Live Cells",16.0552581135567
"Activation_1.fcs","0","Stim-A","CD4 T Cells","T Cells",41.1933565716629
"Activation_1.fcs","0","Stim-A","CD8 T Cells","T Cells",49.8052081197457
"Activation_2.fcs","0","Stim-A","CD4 T Cells","Live Cells",15.0016441959882
"Activation_2.fcs","0","Stim-A","CD8 T Cells","Live Cells",18.303189740217
"Activation_2.fcs","0","Stim-A","CD4 T Cells","T Cells",41.1807185412529
"Activation_2.fcs","0","Stim-A","CD8 T Cells","T Cells",50.2437263043871
"Activation_3.fcs","5","Stim-A","CD4 T Cells","Live Cells",14.8654513888889
"Activation_3.fcs","5","Stim-A","CD8 T Cells","Live Cells",18.1351273148148
"Activation_3.fcs","5","Stim-A","CD4 T Cells","T Cells",40.7738095238095
"Activation_3.fcs","5","Stim-A","CD8 T Cells","T Cells",49.7420634920635
"Activation_4.fcs","5","Stim-A","CD4 T Cells","Live Cells",13.5691894312584
"Activation_4.fcs","5","Stim-A","CD8 T Cells","Live Cells",15.3978205702344
"Activation_4.fcs","5","Stim-A","CD4 T Cells","T Cells",42.1418636995828
"Activation_4.fcs","5","Stim-A","CD8 T Cells","T Cells",47.8210477515067
"Activation_5.fcs","50","Stim-A","CD4 T Cells","Live Cells",15.100484550004
"Activation_5.fcs","50","Stim-A","CD8 T Cells","Live Cells",18.4446739216777
"Activation_5.fcs","50","Stim-A","CD4 T Cells","T Cells",40.2839584657766
"Activation_5.fcs","50","Stim-A","CD8 T Cells","T Cells",49.205340114431
"Activation_6.fcs","50","Stim-A","CD4 T Cells","Live Cells",13.4411600669269
"Activation_6.fcs","50","Stim-A","CD8 T Cells","Live Cells",16.6829336307864
"Activation_6.fcs","50","Stim-A","CD4 T Cells","T Cells",40.5127127547804
"Activation_6.fcs","50","Stim-A","CD8 T Cells","T Cells",50.2836730405547
"Activation_7.fcs","500","Stim-A","CD4 T Cells","Live Cells",14.0123158657329
"Activation_7.fcs","500","Stim-A","CD8 T Cells","Live Cells",19.011108427916
"Activation_7.fcs","500","Stim-A","CD4 T Cells","T Cells",38.9233607244675
"Activation_7.fcs","500","Stim-A","CD8 T Cells","T Cells",52.8089887640449
"Activation_8.fcs","500","Stim-A","CD4 T Cells","Live Cells",13.5807727411013
"Activation_8.fcs","500","Stim-A","CD8 T Cells","Live Cells",17.9981746273197
"Activation_8.fcs","500","Stim-A","CD4 T Cells","T Cells",39.0551181102362
"Activation_8.fcs","500","Stim-A","CD8 T Cells","T Cells",51.758530183727
"Activation_9.fcs","0","Stim-B","CD4 T Cells","Live Cells",12.9806213472778
"Activation_9.fcs","0","Stim-B","CD8 T Cells","Live Cells",17.348508151338
"Activation_9.fcs","0","Stim-B","CD4 T Cells","T Cells",38.7155963302752
"Activation_9.fcs","0","Stim-B","CD8 T Cells","T Cells",51.743119266055
"Activation_10.fcs","0","Stim-B","CD4 T Cells","Live Cells",12.2904307454217
"Activation_10.fcs","0","Stim-B","CD8 T Cells","Live Cells",15.0116069125613
"Activation_10.fcs","0","Stim-B","CD4 T Cells","T Cells",40.4842820730671
"Activation_10.fcs","0","Stim-B","CD8 T Cells","T Cells",49.4477485131691
"Activation_11.fcs","5","Stim-B","CD4 T Cells","Live Cells",13.9034556945005
"Activation_11.fcs","5","Stim-B","CD8 T Cells","Live Cells",19.1878445609789
"Activation_11.fcs","5","Stim-B","CD4 T Cells","T Cells",38.1972663465091
"Activation_11.fcs","5","Stim-B","CD8 T Cells","T Cells",52.7151828592538
"Activation_12.fcs","5","Stim-B","CD4 T Cells","Live Cells",11.345087533487
"Activation_12.fcs","5","Stim-B","CD8 T Cells","Live Cells",16.2855896828858
"Activation_12.fcs","5","Stim-B","CD4 T Cells","T Cells",37.0423108218063
"Activation_12.fcs","5","Stim-B","CD8 T Cells","T Cells",53.173311635476
"Activation_13.fcs","50","Stim-B","CD4 T Cells","Live Cells",13.5021952043229
"Activation_13.fcs","50","Stim-B","CD8 T Cells","Live Cells",18.4126984126984
"Activation_13.fcs","50","Stim-B","CD4 T Cells","T Cells",38.3317353787152
"Activation_13.fcs","50","Stim-B","CD8 T Cells","T Cells",52.2722914669223
"Activation_14.fcs","50","Stim-B","CD4 T Cells","Live Cells",12.8451069345431
"Activation_14.fcs","50","Stim-B","CD8 T Cells","Live Cells",16.4419961114712
"Activation_14.fcs","50","Stim-B","CD4 T Cells","T Cells",39.6241503398641
"Activation_14.fcs","50","Stim-B","CD8 T Cells","T Cells",50.7197121151539
"Activation_15.fcs","500","Stim-B","CD4 T Cells","Live Cells",14.3299720568582
"Activation_15.fcs","500","Stim-B","CD8 T Cells","Live Cells",20.9695055278824
"Activation_15.fcs","500","Stim-B","CD4 T Cells","T Cells",36.7559987535058
"Activation_15.fcs","500","Stim-B","CD8 T Cells","T Cells",53.7862262387036
"Activation_16.fcs","500","Stim-B","CD4 T Cells","Live Cells",13.7010676156584
"Activation_16.fcs","500","Stim-B","CD8 T Cells","Live Cells",19.1340450771056
"Activation_16.fcs","500","Stim-B","CD4 T Cells","T Cells",38.2197220383852
"Activation_16.fcs","500","Stim-B","CD8 T Cells","T Cells",53.3752481800132
"Activation_17.fcs","0","Stim-C","CD4 T Cells","Live Cells",12.6431844215349
"Activation_17.fcs","0","Stim-C","CD8 T Cells","Live Cells",15.0272050400916
"Activation_17.fcs","0","Stim-C","CD4 T Cells","T Cells",40.8701689423744
"Activation_17.fcs","0","Stim-C","CD8 T Cells","T Cells",48.5767183522333
"Activation_18.fcs","0","Stim-C","CD4 T Cells","Live Cells",12.6693279235652
"Activation_18.fcs","0","Stim-C","CD8 T Cells","Live Cells",14.1221124271972
"Activation_18.fcs","0","Stim-C","CD4 T Cells","T Cells",42.4282270436117
"Activation_18.fcs","0","Stim-C","CD8 T Cells","T Cells",47.2934472934473
"Activation_19.fcs","5","Stim-C","CD4 T Cells","Live Cells",15.7061790668348
"Activation_19.fcs","5","Stim-C","CD8 T Cells","Live Cells",19.6153846153846
"Activation_19.fcs","5","Stim-C","CD4 T Cells","T Cells",40.4974800845391
"Activation_19.fcs","5","Stim-C","CD8 T Cells","T Cells",50.5771419281418
"Activation_20.fcs","5","Stim-C","CD4 T Cells","Live Cells",13.4616618543471
"Activation_20.fcs","5","Stim-C","CD8 T Cells","Live Cells",14.8925248636509
"Activation_20.fcs","5","Stim-C","CD4 T Cells","T Cells",43.0800821355236
"Activation_20.fcs","5","Stim-C","CD8 T Cells","T Cells",47.6591375770021
"Activation_21.fcs","50","Stim-C","CD4 T Cells","Live Cells",15.4890940719925
"Activation_21.fcs","50","Stim-C","CD8 T Cells","Live Cells",21.5375351264552
"Activation_21.fcs","50","Stim-C","CD4 T Cells","T Cells",38.1383855024712
"Activation_21.fcs","50","Stim-C","CD8 T Cells","T Cells",53.0313014827018
"Activation_22.fcs","50","Stim-C","CD4 T Cells","Live Cells",13.4062843868444
"Activation_22.fcs","50","Stim-C","CD8 T Cells","Live Cells",18.9265191343685
"Activation_22.fcs","50","Stim-C","CD4 T Cells","T Cells",37.7777777777778
"Activation_22.fcs","50","Stim-C","CD8 T Cells","T Cells",53.3333333333333
"Activation_23.fcs","500","Stim-C","CD4 T Cells","Live Cells",12.8924009525871
"Activation_23.fcs","500","Stim-C","CD8 T Cells","Live Cells",21.4007360900628
"Activation_23.fcs","500","Stim-C","CD4 T Cells","T Cells",33.84484228474
"Activation_23.fcs","500","Stim-C","CD8 T Cells","T Cells",56.1807331628304
"Activation_24.fcs","500","Stim-C","CD4 T Cells","Live Cells",12.9623208506704
"Activation_24.fcs","500","Stim-C","CD8 T Cells","Live Cells",21.7406380027739
"Activation_24.fcs","500","Stim-C","CD4 T Cells","T Cells",33.969407844919
"Activation_24.fcs","500","Stim-C","CD8 T Cells","T Cells",56.9741026805997
"Activation_25.fcs","0","Stim-D","CD4 T Cells","Live Cells",13.9456242391451
"Activation_25.fcs","0","Stim-D","CD8 T Cells","Live Cells",19.9513052887867
"Activation_25.fcs","0","Stim-D","CD4 T Cells","T Cells",37.3483064662199
"Activation_25.fcs","0","Stim-D","CD8 T Cells","T Cells",53.4323492120993
"Activation_26.fcs","0","Stim-D","CD4 T Cells","Live Cells",13.722990630378
"Activation_26.fcs","0","Stim-D","CD8 T Cells","Live Cells",19.3383899547454
"Activation_26.fcs","0","Stim-D","CD4 T Cells","T Cells",38.0120056497175
"Activation_26.fcs","0","Stim-D","CD8 T Cells","T Cells",53.566384180791
"Activation_27.fcs","5","Stim-D","CD4 T Cells","Live Cells",13.7342469105592
"Activation_27.fcs","5","Stim-D","CD8 T Cells","Live Cells",20.4637220115013
"Activation_27.fcs","5","Stim-D","CD4 T Cells","T Cells",36.7430441898527
"Activation_27.fcs","5","Stim-D","CD8 T Cells","T Cells",54.746317512275
"Activation_28.fcs","5","Stim-D","CD4 T Cells","Live Cells",13.077449526634
"Activation_28.fcs","5","Stim-D","CD8 T Cells","Live Cells",20.0011406410403
"Activation_28.fcs","5","Stim-D","CD4 T Cells","T Cells",36.3391442155309
"Activation_28.fcs","5","Stim-D","CD8 T Cells","T Cells",55.5784469096672
"Activation_29.fcs","50","Stim-D","CD4 T Cells","Live Cells",12.6760563380282
"Activation_29.fcs","50","Stim-D","CD8 T Cells","Live Cells",22.9577464788732
"Activation_29.fcs","50","Stim-D","CD4 T Cells","T Cells",32.2725235320484
"Activation_29.fcs","50","Stim-D","CD8 T Cells","T Cells",58.4491259524877
"Activation_30.fcs","50","Stim-D","CD4 T Cells","Live Cells",14.1934682726934
"Activation_30.fcs","50","Stim-D","CD8 T Cells","Live Cells",23.065938159692
"Activation_30.fcs","50","Stim-D","CD4 T Cells","T Cells",34.7839318320146
"Activation_30.fcs","50","Stim-D","CD8 T Cells","T Cells",56.5276932440657
"Activation_31.fcs","500","Stim-D","CD4 T Cells","Live Cells",11.8504506509402
"Activation_31.fcs","500","Stim-D","CD8 T Cells","Live Cells",21.6312451318571
"Activation_31.fcs","500","Stim-D","CD4 T Cells","T Cells",31.6399286987522
"Activation_31.fcs","500","Stim-D","CD8 T Cells","T Cells",57.7540106951872
"Activation_32.fcs","500","Stim-D","CD4 T Cells","Live Cells",11.4288956985586
"Activation_32.fcs","500","Stim-D","CD8 T Cells","Live Cells",21.5412552491204
"Activation_32.fcs","500","Stim-D","CD4 T Cells","T Cells",31.4196567862714
"Activation_32.fcs","500","Stim-D","CD8 T Cells","T Cells",59.219968798752
"Activation_33.fcs","0","NA","CD4 T Cells","Live Cells",0
"Activation_33.fcs","0","NA","CD8 T Cells","Live Cells",0
"Activation_33.fcs","0","NA","CD4 T Cells","T Cells",NA
"Activation_33.fcs","0","NA","CD8 T Cells","T Cells",NA
